game_id,Year,Week,Date,Time,Game,home_team,away_team,Spread,home_team_spread_line,Over/Under,total_line,home_moneyline,away_moneyline,Spread Prediction,Total Prediction,predicted_spread_std_dev,predicted_total_std_dev,edge_spread,edge_total,Spread Bet,bet_units_spread,spread_bet_reason,Total Bet,bet_units_total,total_bet_reason
401644760,2024,11,2024-11-05,19:30:00,Bowling Green @ Central Michigan,Central Michigan,Bowling Green,Central Michigan +14.5,14.5,47.5,47.5,450.0,-700.0,-8.023983120890966,60.84588464535628,0.08674627438683039,2.0521825402582827,6.476016879109034,13.345884645356278,home,3.12,Bet Placed,none,0.0,No Bet - Low Confidence
401644688,2024,11,2024-11-05,20:00:00,Miami (OH) @ Ball State,Ball State,Miami (OH),Ball State +12.5,12.5,48.5,48.5,360.0,-500.0,-6.959658253946015,55.23552645061932,2.7456869240353656,1.1374018596929467,5.540341746053985,6.735526450619318,none,0.0,No Bet - Small Edge,over,3.12,Bet Placed
401644761,2024,11,2024-11-06,19:00:00,Ohio @ Kent State,Kent State,Ohio,Kent State +20.5,20.5,53.5,53.5,750.0,-1400.0,-21.646413679713646,53.999448722401056,5.536435136009099,1.153890904909268,1.1464136797136462,0.49944872240105553,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401644762,2024,11,2024-11-06,19:00:00,Northern Illinois @ Western Michigan,Western Michigan,Northern Illinois,Western Michigan +2.5,2.5,51.5,51.5,110.0,-130.0,3.1790056084692027,55.73269082738922,2.5242353923959495,1.5665991361706624,5.679005608469202,4.23269082738922,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401643825,2024,11,2024-11-07,20:00:00,App State @ Coastal Carolina,Coastal Carolina,App State,Coastal Carolina +1.5,1.5,62.5,62.5,110.0,-130.0,-2.316150236296102,61.92649219003191,2.0551543864493276,2.4412637242518223,0.8161502362961022,0.5735078099680919,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401645361,2024,11,2024-11-07,20:00:00,Florida Atlantic @ East Carolina,East Carolina,Florida Atlantic,East Carolina -5.5,-5.5,58.5,58.5,-290.0,240.0,10.410628545074482,58.345953760966935,1.3303026832566833,1.190042776557167,4.910628545074482,0.15404623903306458,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401634773,2024,11,2024-11-08,20:00:00,California @ Wake Forest,Wake Forest,California,Wake Forest +7.5,7.5,54.5,54.5,225.0,-275.0,-4.26094695673262,54.321023047204484,2.668096595992694,1.559891730383427,3.23905304326738,0.17897695279551584,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401628542,2024,11,2024-11-08,21:00:00,Iowa @ UCLA,UCLA,Iowa,UCLA +6.5,6.5,44.5,44.5,200.0,-240.0,-6.3962903740728905,56.51461070304853,2.6229987960665655,2.983102342027376,0.10370962592710953,12.014610703048533,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Low Confidence
401645362,2024,11,2024-11-08,21:00:00,Rice @ Memphis,Memphis,Rice,Memphis -7.5,-7.5,50.5,50.5,-290.0,240.0,6.950215822841581,47.46419855588583,1.573004031855402,1.6654137967774858,0.5497841771584193,3.0358014441141705,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401643754,2024,11,2024-11-08,22:30:00,New Mexico @ San Diego State,San Diego State,New Mexico,San Diego State -1.5,-1.5,65.5,65.5,-120.0,105.0,-3.0140371920369624,61.01869957931925,0.6283750431556185,2.727400795753539,4.514037192036962,4.481300420680753,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401645363,2024,11,2024-11-09,12:00:00,Navy @ South Florida,South Florida,Navy,South Florida +4.5,4.5,59.5,59.5,155.0,-185.0,-3.132945284475552,49.90097814882307,1.7338826753015975,3.445794081105806,1.3670547155244481,9.599021851176929,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Low Confidence
401628545,2024,11,2024-11-09,12:00:00,Purdue @ Ohio State,Ohio State,Purdue,Ohio State -37.5,-37.5,55.5,55.5,,,17.000139229191927,63.21974493572389,3.3272233203050425,2.3525882827938247,20.499860770808073,7.719744935723888,none,0.0,No Bet - Low Confidence,none,0.0,No Bet - Low Confidence
401635609,2024,11,2024-11-09,12:00:00,Miami @ Georgia Tech,Georgia Tech,Miami,Georgia Tech +9.5,9.5,64.5,64.5,280.0,-360.0,-2.0655882039173896,55.439699865577836,1.2483353333164566,1.9859625314505003,7.43441179608261,9.060300134422164,home,3.12,Bet Placed,none,0.0,No Bet - Low Confidence
401628417,2024,11,2024-11-09,12:00:00,Florida @ Texas,Texas,Florida,Texas -24.5,-24.5,48.5,48.5,-2500.0,1100.0,6.4683775586444865,54.210137244808216,1.5851603533419736,2.2043298881849864,18.031622441355513,5.710137244808216,away,3.12,Bet Placed,none,0.0,No Bet - Small Edge
401628544,2024,11,2024-11-09,12:00:00,Minnesota @ Rutgers,Rutgers,Minnesota,Rutgers +6.5,6.5,44.5,44.5,185.0,-225.0,-0.27352742671309677,56.24763389734315,2.350447051029914,0.9192082812397224,6.2264725732869035,11.74763389734315,none,0.0,No Bet - Low Confidence,over,3.12,Bet Placed
