game_id,Year,Week,Date,Time,Game,home_team,away_team,Spread,home_team_spread_line,Over/Under,total_line,home_moneyline,away_moneyline,Spread Prediction,Total Prediction,predicted_spread_std_dev,predicted_total_std_dev,edge_spread,edge_total,Spread Bet,bet_units_spread,spread_bet_reason,Total Bet,bet_units_total,total_bet_reason
401640984,2024,9,2024-10-22,19:30:00,Sam Houston @ Florida International,Florida International,Sam Houston,Florida International +5.0,5.0,47.0,47.0,180.0,-220.0,-4.635794010475987,45.41659489897506,1.0682057445058226,3.174181554135036,0.36420598952401306,1.5834051010249368,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401641011,2024,9,2024-10-22,20:00:00,UTEP @ Louisiana Tech,Louisiana Tech,UTEP,Louisiana Tech -6.5,-6.5,49.0,49.0,-280.0,230.0,8.663995765171396,49.54629236302674,2.69122470845802,1.4271073496299915,2.1639957651713964,0.5462923630267369,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401640993,2024,9,2024-10-23,19:00:00,Liberty @ Kennesaw State,Kennesaw State,Liberty,Kennesaw State +27.0,27.0,48.0,48.0,1000.0,-2500.0,-15.609804405833904,54.812407718541095,2.557945328217044,3.0471744342439004,11.390195594166096,6.812407718541095,none,0.0,No Bet - Low Confidence,none,0.0,No Bet - Small Edge
401641003,2024,9,2024-10-23,19:30:00,Middle Tennessee @ Jacksonville State,Jacksonville State,Middle Tennessee,Jacksonville State -20.5,-20.5,64.5,64.5,-1600.0,800.0,15.963573986491616,59.20465231031111,0.8271368833073977,1.7501436127346894,4.536426013508384,5.295347689688889,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401643815,2024,9,2024-10-24,19:00:00,Georgia Southern @ Old Dominion,Old Dominion,Georgia Southern,Old Dominion +1.0,1.0,52.0,52.0,-125.0,105.0,2.11351841173666,50.664140359900365,3.646831177039477,2.154966014312447,3.11351841173666,1.3358596400996348,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401634770,2024,9,2024-10-24,19:30:00,Syracuse @ Pittsburgh,Pittsburgh,Syracuse,Pittsburgh -5.0,-5.0,62.5,62.5,-220.0,180.0,10.247014117850137,66.07351416010114,0.3084193397751461,4.526568810632607,5.247014117850137,3.5735141601011406,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401634771,2024,9,2024-10-25,19:30:00,Louisville @ Boston College,Boston College,Louisville,Boston College +7.0,7.0,54.0,54.0,220.0,-270.0,0.20193846671885116,55.82238666911568,0.6072780304372902,1.780078819968572,7.201938466718851,1.82238666911568,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401643740,2024,9,2024-10-25,22:30:00,Boise State @ UNLV,UNLV,Boise State,UNLV +4.0,4.0,64.0,64.0,125.0,-145.0,2.4227325618629725,57.84564783738089,0.2641234069683727,2.978721111395317,6.422732561862972,6.154352162619112,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401628532,2024,9,2024-10-25,23:00:00,Rutgers @ USC,USC,Rutgers,USC -14.0,-14.0,57.0,57.0,-650.0,450.0,9.641934334478632,59.20486890130761,1.161845845204838,1.1620008885741497,4.358065665521368,2.204868901307613,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge
401645354,2024,9,2024-10-26,12:00:00,Tulane @ North Texas,North Texas,Tulane,North Texas +7.5,7.5,70.5,70.5,250.0,-300.0,-1.5807497373119956,57.83424657922249,1.1834272445995722,0.8567653320906897,5.919250262688005,12.665753420777513,none,0.0,No Bet - Small Edge,under,3.12,Bet Placed
